"","ID","Source","Country","Species","Cap.year","Cap.gear","Sex","LS_Score","TL","sdtl","TWgt","sdtwgt","F.Ys.Wgt","D.T.Wgt","D.Ys.Wgt","Cls","Cli","sdcli","Clo","Len_Cl","Ts","Es","VDs","SVs","Sperm","LTW","RTW","LTWt","RTWt","CTWt","Os","Ovs","Us","OW","OWt","OvaM","OvaA","OvWM","LUWM","RUWM","LS_est","TL.pred","TWgt.pred","Cli.pred","Population","Hemisphere"
"1","NZL00001M","AB","New Zealand","Galeorhinus galeus",2020,"BLL","M",2,435,NA,425.627181886746,47.3882557471359,NA,360,NA,1,29,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"New Zealand","South"
"2","NZL00002M","AB","New Zealand","Galeorhinus galeus",2020,"BLL","M",2,430,NA,420.307086546655,47.1643648260229,NA,355,NA,1,27,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"New Zealand","South"
"3","NZL00003M","AB","New Zealand","Galeorhinus galeus",2020,"BLL","M",2,440,NA,379.712726482132,43.6310864484753,NA,320,NA,1,23,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"New Zealand","South"
"4","NZL00004F","AB","New Zealand","Galeorhinus galeus",2020,"BLL","F",2,530,NA,886.7871665098,80.5524826061251,NA,765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"New Zealand","South"
"5","NZL00005M","AB","New Zealand","Galeorhinus galeus",2020,"BLL","M",2,570,NA,891.924769477205,81.1518743625652,NA,770,NA,1,34,NA,17,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"New Zealand","South"
"6","NZL00006F","AB","New Zealand","Galeorhinus galeus",2022,"BLL","F",2,590,NA,971.064167481306,85.8199051523043,NA,839.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,1,NA,NA,3,1,2,NA,NA,1,NA,"New Zealand","South"
"7","NZL00007F","AB","New Zealand","Galeorhinus galeus",2022,"BLL","F",2,615,NA,1216.53023378454,100.888035344553,NA,1057.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,6,NA,NA,NA,3,2,2,NA,NA,1,NA,"New Zealand","South"
"8","NZL00008M","AB","New Zealand","Galeorhinus galeus",2020,"BLL","M",2,520,NA,451.762724909982,49.5417110136437,NA,383,NA,1,33,NA,15,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"New Zealand","South"
"9","NZL00009F","AB","New Zealand","Galeorhinus galeus",2020,"BLL","F",2,445,NA,347.193568783777,40.5650578105749,NA,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,3,2,2,NA,NA,1,NA,"New Zealand","South"
"10","NZL00010F","AB","New Zealand","Galeorhinus galeus",2020,"BLL","F",2,550,NA,701.095297172829,67.932858099205,NA,601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,2,2,NA,NA,1,NA,"New Zealand","South"
"11","NZL00011M","AB","New Zealand","Galeorhinus galeus",2023,"Ang","M",2,325,NA,156.184763802067,23.0021669329453,NA,128.5,NA,1,22,NA,11,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"New Zealand","South"
"12","NZL00012M","AB","New Zealand","Galeorhinus galeus",2020,"BLL","M",2,665,NA,1386.25565973076,112.382213740795,NA,1210,NA,1,38,NA,19,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"New Zealand","South"
"13","NZL00013F","AB","New Zealand","Galeorhinus galeus",2023,"Ang","F",2,345,NA,210.844564868372,28.3408289493536,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,2,1,1,NA,NA,1,NA,"New Zealand","South"
"14","NZL00014F","AB","New Zealand","Galeorhinus galeus",2023,"Ang","F",2,450,NA,425.607791670572,46.7904299170376,NA,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,NA,NA,NA,2,1,1,NA,NA,1,NA,"New Zealand","South"
"15","NZL00015F","AB","New Zealand","Galeorhinus galeus",2023,"Ang","F",2,435,NA,418.869726146969,46.6099002065264,NA,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,NA,NA,NA,3,2,2,NA,NA,1,NA,"New Zealand","South"
"16","NZL00016F","AB","New Zealand","Galeorhinus galeus",2021,"Ang","F",2,655,NA,1289.94801680288,105.773725380005,NA,1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,6,3,3,NA,NA,1,NA,"New Zealand","South"
"17","NZL00017M","AB","New Zealand","Galeorhinus galeus",2022,"Ang","M",2,680,NA,1281.78263604125,105.136311086948,NA,1117,NA,1,36,NA,17,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"New Zealand","South"
"18","NZL00018F","AB","New Zealand","Galeorhinus galeus",2022,"Ang","F",2,490,NA,596.581761815357,60.3046128095093,NA,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,"New Zealand","South"
